row,week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
174,2018-05-14,2018-05-20,0,0,0,0
175,2018-05-21,2018-05-27,0,0,0,0
176,2018-05-28,2018-06-03,0,0,0,0
177,2018-06-04,2018-06-10,0,0,0,0
178,2018-06-11,2018-06-17,0,0,0,0
179,2018-06-18,2018-06-24,0,0,0,0
180,2018-06-25,2018-07-01,0,0,0,0
181,2018-07-02,2018-07-08,0,0,0,0
182,2018-07-09,2018-07-15,0,0,0,0
183,2018-07-16,2018-07-22,0,0,0,0
184,2018-07-23,2018-07-29,0,0,2,0
185,2018-07-30,2018-08-05,0,0,0,0
186,2018-08-06,2018-08-12,2,0,0,1
187,2018-08-13,2018-08-19,0,0,0,0
188,2018-08-20,2018-08-26,0,1,0,0
189,2018-08-27,2018-09-02,0,0,0,0
190,2018-09-03,2018-09-09,0,0,0,1
191,2018-09-10,2018-09-16,0,0,0,0
192,2018-09-17,2018-09-23,0,1,0,0
193,2018-09-24,2018-09-30,0,0,0,0
194,2018-10-01,2018-10-07,0,0,0,0
195,2018-10-08,2018-10-14,0,0,0,0
196,2018-10-15,2018-10-21,0,0,0,0
197,2018-10-22,2018-10-28,0,0,0,0
198,2018-10-29,2018-11-04,0,0,0,0
199,2018-11-05,2018-11-11,0,0,0,1
200,2018-11-12,2018-11-18,0,0,0,3
201,2018-11-19,2018-11-25,0,1,0,0
202,2018-11-26,2018-12-02,0,3,0,0
203,2018-12-03,2018-12-09,0,0,0,0
204,2018-12-10,2018-12-16,0,0,0,0
205,2018-12-17,2018-12-23,0,0,0,0
206,2018-12-24,2018-12-30,0,0,0,0
207,2018-12-31,2019-01-06,0,0,0,0
208,2019-01-07,2019-01-13,0,0,0,0
209,2019-01-14,2019-01-20,0,0,0,0
210,2019-01-21,2019-01-27,0,0,0,0
211,2019-01-28,2019-02-03,0,0,0,0
212,2019-02-04,2019-02-10,0,0,0,0
213,2019-02-11,2019-02-17,0,0,0,0
214,2019-02-18,2019-02-24,0,0,0,0
215,2019-02-25,2019-03-03,0,0,0,0
216,2019-03-04,2019-03-10,0,0,1,0
217,2019-03-11,2019-03-17,0,0,0,0
218,2019-03-18,2019-03-24,1,0,0,1
219,2019-03-25,2019-03-31,0,0,0,0
220,2019-04-01,2019-04-07,0,1,0,0
221,2019-04-08,2019-04-14,0,0,0,0
222,2019-04-15,2019-04-21,0,0,0,0
223,2019-04-22,2019-04-28,0,0,0,0
224,2019-04-29,2019-05-05,0,0,0,1
225,2019-05-06,2019-05-12,0,0,0,0
226,2019-05-13,2019-05-19,0,1,0,0
227,2019-05-20,2019-05-26,0,0,0,0
228,2019-05-27,2019-06-02,0,0,0,0
229,2019-06-03,2019-06-09,0,0,0,0
230,2019-06-10,2019-06-16,0,0,0,0
231,2019-06-17,2019-06-23,0,0,0,0
232,2019-06-24,2019-06-30,0,0,0,0
233,2019-07-01,2019-07-07,0,0,0,0
234,2019-07-08,2019-07-14,0,0,0,0
235,2019-07-15,2019-07-21,0,0,0,0
236,2019-07-22,2019-07-28,0,0,0,0
237,2019-07-29,2019-08-04,0,0,0,0
238,2019-08-05,2019-08-11,0,0,0,0
239,2019-08-12,2019-08-18,0,0,0,0
240,2019-08-19,2019-08-25,0,0,0,0
241,2019-08-26,2019-09-01,0,0,0,0
242,2019-09-02,2019-09-08,0,0,0,0
243,2019-09-09,2019-09-15,0,0,0,0
244,2019-09-16,2019-09-22,0,0,0,0
245,2019-09-23,2019-09-29,0,0,0,0
246,2019-09-30,2019-10-06,0,0,0,0
247,2019-10-07,2019-10-13,0,0,0,0
248,2019-10-14,2019-10-20,0,0,0,0
249,2019-10-21,2019-10-27,0,0,0,0
250,2019-10-28,2019-11-03,0,0,0,1
251,2019-11-04,2019-11-10,0,0,0,0
252,2019-11-11,2019-11-17,0,1,0,0
253,2019-11-18,2019-11-24,0,0,0,0
254,2019-11-25,2019-12-01,0,0,0,0
255,2019-12-02,2019-12-08,0,0,0,0
256,2019-12-09,2019-12-15,0,0,0,0
257,2019-12-16,2019-12-22,0,0,0,0
258,2019-12-23,2019-12-29,0,0,0,0
259,2019-12-30,2020-01-05,0,0,0,0
260,2020-01-06,2020-01-12,0,0,0,0
261,2020-01-13,2020-01-19,0,0,0,0
262,2020-01-20,2020-01-26,0,0,0,0
263,2020-01-27,2020-02-02,0,0,0,0
264,2020-02-03,2020-02-09,0,0,0,0
265,2020-02-10,2020-02-16,0,0,0,0
266,2020-02-17,2020-02-23,0,0,0,0
267,2020-02-24,2020-03-01,0,0,0,0
268,2020-03-02,2020-03-08,0,0,0,0
269,2020-03-09,2020-03-15,0,0,0,0
270,2020-03-16,2020-03-22,0,0,0,0
271,2020-03-23,2020-03-29,0,0,0,0
272,2020-03-30,2020-04-05,0,0,0,0
273,2020-04-06,2020-04-12,0,0,0,0
274,2020-04-13,2020-04-19,0,0,0,0
275,2020-04-20,2020-04-26,0,0,0,0
276,2020-04-27,2020-05-03,0,0,0,0
277,2020-05-04,2020-05-10,0,0,0,0
278,2020-05-11,2020-05-17,0,0,0,0
279,2020-05-18,2020-05-24,0,0,0,0
280,2020-05-25,2020-05-31,0,0,0,0
281,2020-06-01,2020-06-07,0,0,0,0
282,2020-06-08,2020-06-14,0,0,0,0
283,2020-06-15,2020-06-21,0,0,0,0
284,2020-06-22,2020-06-28,0,0,0,1
285,2020-06-29,2020-07-05,0,0,0,0
286,2020-07-06,2020-07-12,0,1,0,0
287,2020-07-13,2020-07-19,0,0,0,0
288,2020-07-20,2020-07-26,0,0,0,0
289,2020-07-27,2020-08-02,0,0,0,0
290,2020-08-03,2020-08-09,0,0,0,0
291,2020-08-10,2020-08-16,0,0,0,0
292,2020-08-17,2020-08-23,0,0,0,0
293,2020-08-24,2020-08-30,0,0,0,0
294,2020-08-31,2020-09-06,0,0,0,1
295,2020-09-07,2020-09-13,0,0,0,0
296,2020-09-14,2020-09-20,0,1,0,0
297,2020-09-21,2020-09-27,0,0,0,0
298,2020-09-28,2020-10-04,0,0,0,0
299,2020-10-05,2020-10-11,0,0,0,0
300,2020-10-12,2020-10-18,0,0,0,0
301,2020-10-19,2020-10-25,0,0,0,0
302,2020-10-26,2020-11-01,0,0,0,0
303,2020-11-02,2020-11-08,0,0,0,0
304,2020-11-09,2020-11-15,0,0,0,0
305,2020-11-16,2020-11-22,0,0,0,0
306,2020-11-23,2020-11-29,0,0,0,0
307,2020-11-30,2020-12-06,0,0,0,0
308,2020-12-07,2020-12-13,0,0,0,0
309,2020-12-14,2020-12-20,0,0,0,0
310,2020-12-21,2020-12-27,0,0,0,0
311,2020-12-28,2021-01-03,0,0,0,0
312,2021-01-04,2021-01-10,0,0,0,0
313,2021-01-11,2021-01-17,0,0,0,1
314,2021-01-18,2021-01-24,0,0,0,0
315,2021-01-25,2021-01-31,0,1,0,0
316,2021-02-01,2021-02-07,0,0,0,0
317,2021-02-08,2021-02-14,0,0,0,0
318,2021-02-15,2021-02-21,0,0,0,0
319,2021-02-22,2021-02-28,0,0,0,0
320,2021-03-01,2021-03-07,0,0,0,0
321,2021-03-08,2021-03-14,0,0,0,0
322,2021-03-15,2021-03-21,0,0,0,0
323,2021-03-22,2021-03-28,0,0,0,0
324,2021-03-29,2021-04-04,0,0,0,0
325,2021-04-05,2021-04-11,0,0,0,0
326,2021-04-12,2021-04-18,0,0,0,0
327,2021-04-19,2021-04-25,0,0,0,0
328,2021-04-26,2021-05-02,0,0,0,0
329,2021-05-03,2021-05-09,0,0,0,0
330,2021-05-10,2021-05-16,0,0,1,1
331,2021-05-17,2021-05-23,0,0,0,0
332,2021-05-24,2021-05-30,1,1,0,0
333,2021-05-31,2021-06-06,0,0,0,0
334,2021-06-07,2021-06-13,0,0,0,0
335,2021-06-14,2021-06-20,0,0,0,0
336,2021-06-21,2021-06-27,0,0,1,0
